# darshan log version: 3.10
# compression method: ZLIB
# exe: ./delete_ncmpi 
# uid: 18622
# jobid: 7779
# start_time: 1590779654
# start_time_asci: Fri May 29 14:14:14 2020
# end_time: 1590779654
# end_time_asci: Fri May 29 14:14:14 2020
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.2.0-pre1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 201 bytes (compressed)
# record table: 103 bytes (compressed)
# PNETCDF module: 33 bytes (compressed), ver=2
# STDIO module: 56 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/a/nncore/files11	nfs
# mount entry:	/mnt/usrlocal	nfs
# mount entry:	/files1	ext4
# mount entry:	/files2	ext4
# mount entry:	/files3	ext4
# mount entry:	/files4	ext4
# mount entry:	/files5	ext4
# mount entry:	/files6	ext4
# mount entry:	/files7	ext4
# mount entry:	/files8	ext4
# mount entry:	/depot	nfs
# mount entry:	/homes	nfs
# mount entry:	/boot	ext4
# mount entry:	/meas	nfs
# mount entry:	/mail	nfs
# mount entry:	/tmp	ext4
# mount entry:	/usr	ext4
# mount entry:	/var	ext4
# mount entry:	/vol	nfs
# mount entry:	/net	nfs
# mount entry:	/	ext4

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# PNETCDF module data
# *******************************************************

# description of PNETCDF counters:
#   PNETCDF_INDEP_OPENS: PNETCDF independent file open operation counts.
#   PNETCDF_COLL_OPENS: PNETCDF collective file open operation counts.
#   PNETCDF_F_*_START_TIMESTAMP: timestamp of first PNETCDF file open/close.
#   PNETCDF_F_*_END_TIMESTAMP: timestamp of last PNETCDF file open/close.

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
PNETCDF	-1	8479730873981485481	PNETCDF_INDEP_OPENS	0	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_COLL_OPENS	0	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_OPEN_START_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_CLOSE_START_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_DELETE_START_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_REDEF_START_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_OPEN_END_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_CLOSE_END_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_DELETE_END_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	-1	8479730873981485481	PNETCDF_F_REDEF_END_TIMESTAMP	0.000000	/files4/home/csl782/dpm/testcode/foo.nc	/files4	ext4
PNETCDF	0	0	PNETCDF_INDEP_OPENS	0	(null)	UNKNOWN	UNKNOWN
PNETCDF	0	0	PNETCDF_COLL_OPENS	4569082141874323456	(null)	UNKNOWN	UNKNOWN
PNETCDF	0	0	PNETCDF_F_OPEN_START_TIMESTAMP	0.000000	(null)	UNKNOWN	UNKNOWN
PNETCDF	0	0	PNETCDF_F_CLOSE_START_TIMESTAMP	0.000000	(null)	UNKNOWN	UNKNOWN
PNETCDF	0	0	PNETCDF_F_DELETE_START_TIMESTAMP	0.000000	(null)	UNKNOWN	UNKNOWN
